3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
61.4931,3,0
49.5564,1,1
49.6677,1,1
49.8503,1,1
49.8869,1,1
49.909,1,1
49.8848,1,1
49.9299,1,1
49.8984,1,1
49.9023,1,1
49.8635,1,1
49.8628,1,1
49.832,1,1
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
44.1429,2,1
43.8629,2,1
43.4273,2,1
43.0797,2,1
43.0136,2,1
43.041,2,1
43.1746,2,1
43.5631,2,1
43.6734,2,1
43.5063,2,1
43.1901,2,1
43.259,2,1
43.5052,2,1
43.7752,2,1
3,3,0
28.0569,3,0
3,3,0
3,3,0
3,3,0
3,1,0
43.0244,2,1
43.1464,2,1
43.2304,2,1
43.1548,2,1
43.0612,2,1
42.9721,2,1
42.9331,2,1
