note,start,dur
244.32,7862,15
163.679,7879,13
163.894,7897,16
163.362,7915,13
162.833,7931,21
163.269,7953,12
160.747,7967,5
164.256,7982,16
146.009,7999,17
98.856,8019,12
98.085,8036,12
102.886,8057,8
99.738,8074,10
97.513,8089,15
145.527,8138,13
98.244,8153,15
97.857,8171,16
96.097,8190,10
98.541,8206,14
97.333,8229,11
82.539,8252,13
97.787,8278,12
130.569,8296,7
130.506,8311,10
130.674,8328,15
130.335,8349,11
129.905,8363,17
115.318,8384,6
97.112,8413,11
97.896,8425,7
131.551,8433,11
128.589,8449,4
130.538,8454,7
130.376,8467,11
129.999,8489,9
130.879,8499,16
112.655,8523,5
146.097,8552,12
99.004,8567,13
98.13,8587,12
99.138,8603,10
98.159,8619,11
98.078,8635,17
85.998,8658,8
145.802,8688,15
97.896,8709,6
98.309,8721,13
98.152,8739,11
97.333,8755,15
98.389,8779,14
76.82,8808,6
49.078,8816,5
109.737,8826,21
147.422,8850,10
146.424,8863,12
146.4,8880,15
146.595,8901,10
146.237,8916,18
220.135,8968,11
146.218,8982,12
145.9,8999,15
146.4,9018,12
146.359,9033,15
145.597,9052,16
146.216,9100,13
98.554,9118,13
98.626,9137,14
98.648,9154,11
98.165,9170,16
98.005,9189,15
145.888,9240,12
98.604,9258,10
99.083,9273,14
100.947,9294,10
100.978,9312,15
97.605,9328,18
97.654,9377,19
130.9,9400,6
130.439,9413,11
130.284,9431,11
130.586,9449,10
130.338,9465,15
125.014,9485,4
110.048,9514,15
148.143,9535,10
147.797,9550,11
147.517,9566,16
147.742,9589,7
147.586,9597,25
146.016,9651,14
98.195,9669,9
97.528,9686,10
98.955,9706,9
98.076,9719,11
97.752,9732,5
97.62,9740,15
144.353,9787,15
97.589,9805,9
98.743,9823,13
99.04,9840,13
97.728,9856,12
98.681,9876,13
123.635,9927,12
163.623,9942,15
163.993,9963,11
164.038,9978,14
163.871,9994,12
163.862,10009,42
165.552,10052,9
247.612,10062,15
163.418,10079,14
163.245,10100,7
162.574,10113,8
168.029,10122,6
163.997,10132,42
146.381,10200,13
98.138,10215,15
98.7,10236,12
98.473,10253,11
98.477,10267,10
98.282,10291,15
143.063,10338,10
98.07,10355,11
97.588,10373,10
98.764,10390,11
97.929,10405,13
97.706,10428,13
145.925,10478,10
130.115,10492,14
130.699,10513,9
130.246,10528,12
130.609,10547,8
130.29,10562,17
121.379,10586,6
97.636,10614,13
130.713,10632,10
130.662,10648,11
130.873,10667,10
130.686,10685,6
130.721,10701,18
145.967,10751,8
98.235,10764,12
98.106,10782,12
98.73,10800,10
98.028,10816,12
99.52,10833,10
98.168,10844,9
144.062,10883,14
98.493,10902,14
98.089,10918,15
97.945,10937,11
98.38,10956,15
97.626,10974,21
108.468,11024,14
147.114,11040,15
146.958,11059,10
147.01,11072,15
147.435,11093,11
146.873,11110,18
218.81,11158,6
220.778,11165,8
146.699,11177,11
145.886,11191,15
147.327,11209,12
146.1,11226,12
145.663,11242,20
146.193,11296,10
99.22,11313,12
98.274,11331,12
98.06,11349,13
98.161,11367,11
98.026,11383,20
87.806,11451,10
87.065,11466,28
87.096,11500,11
83.641,11528,39
146.14,11570,10
97.634,11587,10
100.068,11604,12
98.536,11620,13
98.44,11638,13
97.711,11657,18
109.732,11706,21
146.265,11729,9
146.714,11741,11
146.043,11759,10
147.486,11776,9
145.933,11790,19
291.966,11810,9
162.862,11820,12
145.795,11838,14
97.913,11855,13
98.235,11875,11
96.043,11891,5
96.747,11904,6
97.203,11913,5
97.767,11927,14
144.57,11976,7
98.321,11991,10
98.425,12008,10
98.961,12025,12
97.474,12042,12
97.207,12060,18
110.034,12112,18
147.282,12132,12
146.661,12148,12
146.515,12164,12
146.596,12182,8
146.315,12199,19
219.177,12249,15
146.463,12266,13
146.348,12284,11
146.842,12300,12
147.34,12318,11
145.959,12336,19
219.446,12385,14
146.631,12403,12
146.867,12420,12
145.73,12438,8
145.435,12453,11
146.459,12470,17
150.506,12494,6
111.927,12522,14
148.195,12540,11
147.545,12558,11
147.899,12574,15
147.746,12595,8
147.518,12613,17
83.082,12637,7
86.226,12646,9
146.339,12661,12
97.71,12679,9
98.235,12698,10
98.47,12716,9
98.637,12730,9
97.423,12747,24
145.71,12802,10
98.335,12816,12
98.325,12835,10
98.63,12850,12
97.802,12869,9
98.157,12884,24
145.876,12936,10
98.25,12952,15
98.697,12970,15
98.577,12988,10
98.19,13003,17
97.638,13022,28
144.145,13072,10
98.314,13088,12
98.253,13103,11
98.598,13124,9
98.211,13137,15
97.604,13158,17
83.347,13180,7
97.637,13212,17
131.549,13231,10
130.554,13265,10
130.8,13282,10
130.601,13301,16
98.072,13351,15
130.676,13370,9
130.769,13387,7
130.98,13402,9
130.861,13419,10
130.471,13433,25
120.784,13459,4
109.23,13488,15
149.173,13506,12
148.315,13520,11
148.214,13537,15
151.188,13559,7
147.893,13571,31
110.018,13626,12
147.66,13640,13
147.228,13659,9
147.589,13674,15
148.737,13694,16
147.675,13711,22
143.596,13761,9
97.572,13774,7
98.264,13782,9
97.341,13793,15
98.772,13815,10
98.295,13831,9
98.081,13847,21
110.296,13904,12
147.285,13923,6
146.966,13936,11
147.235,13955,5
157.223,13961,4
147.637,13966,13
292.92,13983,33
170.02,14020,10
146.983,14034,11
99.996,14052,12
98.71,14070,11
97.996,14085,13
98.367,14105,33
85.198,14143,8
144.992,14172,7
131.945,14180,4
98.79,14189,13
97.24,14208,9
97.958,14227,9
97.712,14242,13
98.512,14261,13
83.634,14275,16
123.235,14308,10
123.267,14319,6
164.486,14327,14
164.386,14347,7
164.49,14364,7
163.338,14377,12
164.398,14396,46
244.779,14444,15
164.111,14462,12
163.876,14479,12
163.487,14494,13
163.86,14511,15
163.298,14532,13
143.905,14577,14
98.311,14596,11
97.635,14611,17
98.08,14634,7
98.698,14647,11
97.827,14664,20
144.942,14716,17
96.308,14735,7
98.475,14752,14
98.89,14768,12
98.82,14787,12
98.41,14804,16
145.598,14854,9
130.399,14868,17
130.616,14892,10
130.968,14909,12
130.41,14927,12
130.238,14942,18
99.02,14990,16
131.435,15007,14
130.239,15030,7
130.297,15043,10
130.966,15061,9
130.745,15079,16
144.788,15127,11
97.946,15141,13
98.23,15161,14
97.823,15182,9
97.812,15194,14
98.081,15214,11
82.223,15230,5
145.366,15262,12
100.457,15281,8
97.592,15295,11
98.872,15313,11
98.111,15328,11
97.524,15350,16
109.829,15400,17
145.86,15419,9
146.456,15434,12
146.302,15449,15
147.32,15470,8
145.944,15488,13
219.082,15534,6
220.834,15541,9
146.389,15552,10
146.365,15568,13
